player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds
00-0000003,Abdul-Karim al-Jabbar,RB,2000,1,REG,2000_01_IND_KC,IND,KC,0,0,0,0,0,0,0,1,-2,0
00-0000104,Troy Aikman,QB,2000,1,REG,2000_01_PHI_DAL,DAL,PHI,0,5,0,0,1,4,-30,0,0,0
00-0000210,James Allen,RB,2000,1,REG,2000_01_CHI_MIN,CHI,MIN,0,0,0,0,0,0,0,9,60,0
00-0000251,Mike Alstott,FB,2000,1,REG,2000_01_TB_NE,TB,NE,0,0,0,0,0,0,0,16,54,2
00-0000316,Jamal Anderson,RB,2000,1,REG,2000_01_SF_ATL,ATL,SF,0,0,0,0,0,0,0,24,77,0
00-0000552,Obafemi Ayanbadejo,RB,2000,1,REG,2000_01_BAL_PIT,BAL,PIT,0,0,0,0,0,0,0,2,0,0
00-0000722,Tony Banks,QB,2000,1,REG,2000_01_BAL_PIT,BAL,PIT,18,32,199,1,0,1,-3,2,5,0
00-0000745,Tiki Barber,RB,2000,1,REG,2000_01_ARI_NYG,NYG,ARI,0,0,0,0,0,0,0,13,144,2
00-0000942,Fred Beasley,FB,2000,1,REG,2000_01_SF_ATL,SF,ATL,0,0,0,0,0,0,0,5,10,1
00-0001102,Donnell Bennett,FB,2000,1,REG,2000_01_IND_KC,KC,IND,0,0,0,0,0,0,0,6,-4,0
00-0001215,Jerome Bettis,RB,2000,1,REG,2000_01_BAL_PIT,PIT,BAL,0,0,0,0,0,0,0,9,8,0
00-0001218,Steve Beuerlein,QB,2000,1,REG,2000_01_CAR_WAS,CAR,WAS,17,26,183,1,0,6,-59,2,10,0
00-0001224,Tim Biakabutuka,RB,2000,1,REG,2000_01_CAR_WAS,CAR,WAS,0,0,0,0,0,0,0,15,88,0
00-0001335,Jeff Blake,QB,2000,1,REG,2000_01_DET_NO,NO,DET,18,34,169,0,1,5,-23,5,22,0
00-0001361,Drew Bledsoe,QB,2000,1,REG,2000_01_TB_NE,NE,TB,26,39,216,1,0,6,-26,8,30,0
00-0001477,Marty Booker,WR,2000,1,REG,2000_01_CHI_MIN,CHI,MIN,0,0,0,0,0,0,0,1,-6,0
