player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_fumbles_lost,receptions,targets,receiving_yards,receiving_tds,receiving_first_downs,receiving_fumbles_lost,fg_made,fg_att,fg_long,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,pat_made,pat_att,pt_att,pt_yards,pt_net_yards,pt_long,pt_inside_20
00-0000108,David Akers,K,2007,1,REG,2007_01_PHI_GB,PHI,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,47,0,0,1,1,0,0,1,1,0,0,0,,0
00-0000865,Charlie Batch,QB,2007,1,REG,2007_01_PIT_CLE,PIT,CLE,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001231,Josh Bidwell,P,2007,1,REG,2007_01_TB_SEA,TB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,293,210,57,0
00-0001477,Marty Booker,WR,2007,1,REG,2007_01_MIA_WAS,MIA,WAS,0,0,0,0,0,0,0,1,12,0,1,0,3,0,20,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001980,Kris Brown,K,2007,1,REG,2007_01_KC_HOU,HOU,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,28,0,2,0,0,0,0,2,2,0,0,0,,0
00-0002099,Isaac Bruce,WR,2007,1,REG,2007_01_CAR_STL,LA,CAR,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0002565,Dan Campbell,TE,2007,1,REG,2007_01_DET_OAK,DET,LV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0003035,Desmond Clark,TE,2007,1,REG,2007_01_CHI_SD,CHI,LAC,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0003292,Kerry Collins,QB,2007,1,REG,2007_01_TEN_JAX,TEN,JAX,0,0,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0004091,Phil Dawson,K,2007,1,REG,2007_01_PIT_CLE,CLE,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,,0
00-0004161,Jake Delhomme,QB,2007,1,REG,2007_01_CAR_STL,CAR,LA,18,27,201,3,0,0,0,3,12,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0004541,Donald Driver,WR,2007,1,REG,2007_01_PHI_GB,GB,PHI,0,0,0,0,0,0,0,0,0,0,0,0,6,0,66,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0004640,Warrick Dunn,RB,2007,1,REG,2007_01_ATL_MIN,ATL,MIN,0,0,0,0,0,0,0,22,55,0,1,0,4,0,26,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0004811,Jason Elam,K,2007,1,REG,2007_01_DEN_BUF,DEN,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,48,0,1,0,2,0,0,0,0,0,0,0,,0
00-0004915,Bobby Engram,WR,2007,1,REG,2007_01_TB_SEA,SEA,TB,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0005091,Kevin Faulk,RB,2007,1,REG,2007_01_NE_NYJ,NE,NYJ,0,0,0,0,0,0,0,1,4,0,1,0,1,0,9,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0005106,Brett Favre,QB,2007,1,REG,2007_01_PHI_GB,GB,PHI,23,42,206,0,1,4,-37,1,-2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0005113,Jeff Feagles,P,2007,1,REG,2007_01_NYG_DAL,NYG,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,89,74,47,0
00-0005720,Joey Galloway,WR,2007,1,REG,2007_01_TB_SEA,TB,SEA,0,0,0,0,0,0,0,1,1,0,0,0,5,0,72,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0005755,Jeff Garcia,QB,2007,1,REG,2007_01_TB_SEA,TB,SEA,19,27,201,0,0,3,-11,1,3,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0006101,Tony Gonzalez,TE,2007,1,REG,2007_01_KC_HOU,KC,HOU,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0006305,Ahman Green,RB,2007,1,REG,2007_01_KC_HOU,HOU,KC,0,0,0,0,0,0,0,16,73,0,4,0,4,0,23,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0006355,Trent Green,QB,2007,1,REG,2007_01_MIA_WAS,MIA,WAS,24,38,219,1,0,2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0006799,Chris Hanson,P,2007,1,REG,2007_01_NE_NYJ,NE,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,53,33,53,0
00-0006800,Jason Hanson,K,2007,1,REG,2007_01_DET_OAK,DET,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,46,0,1,0,2,0,0,3,3,0,0,0,,0
00-0007024,Marvin Harrison,WR,2007,1,REG,2007_01_NO_IND,IND,NO,0,0,0,0,0,0,0,0,0,0,0,0,4,0,83,1,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0007091,Matt Hasselbeck,QB,2007,1,REG,2007_01_TB_SEA,SEA,TB,17,24,222,1,0,2,-18,2,7,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0007213,Steve Heiden,TE,2007,1,REG,2007_01_PIT_CLE,CLE,PIT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
