gsis_id,display_name,position,birth_date,pfr_id,espn_id
00-0038985,Keondre Coburn,DE,2000-05-23,CobuKe00,4362117
00-0028550,Colin Cochart,TE,1987-07-07,CochCo00,14658
00-0037414,Devin Cochran,OT,1998-07-17,CochDe00,4035270
00-0003161,Antonio Cochran,DE,1976-06-21,CochAn20,1868
00-0021964,Earl Cochran,DE,1981-04-19,CochEa20,4869
COC237308,Mark Cochran,OT,1963-05-06,CochMa20,
00-0037208,Jack Cochrane,LB,1999-02-09,CochJa00,4249766
00-0031016,Ross Cockrell,CB,1991-08-06,CockRo00,16843
COC593270,Don Cockroft,K,1945-02-06,cockrdon01,
00-0037749,Jack Coco,LS,1998-10-09,CocoJa00,4240499
00-0003170,Joe Cocozzo,G,1970-08-07,CocoJo20,7494
COC711924,Sherman Cocroft,DB,1961-08-29,CocrSh20,
COD207645,Ron Coder,G,1954-05-24,CodeRo20,
00-0003173,Nakia Codie,DB,1976-01-20,CodiNa20,2518
00-0039333,Brandon Codrington,DB,2000-11-17,CodrBr00,4576069
00-0023488,Dan Cody,LB,1981-12-01,CodyDa20,8467
00-0003175,Mac Cody,WR,1972-08-07,CodyMa00,2051
00-0023472,Shaun Cody,NT,1983-01-22,CodySh20,8451
00-0020447,Tay Cody,CB,1977-10-06,CodyTa20,3998303
00-0027665,Terrence Cody,NT,1988-06-28,CodyTe99,13267
00-0025560,Michael Coe,CB,1983-12-17,CoexMi99,10616
00-0036089,Nick Coe,OLB,1997-08-12,CoexNi01,4047458
00-0032703,Rodney Coe,DT,1993-05-18,CoexRo00,3039922
00-0003179,Mike Cofer,K,1964-02-19,cofermik01,6442
COF127782,Joe Cofer,DB,1963-03-05,CofeJo20,
00-0003178,Mike Cofer,DE,1960-04-07,CofeMi00,12173
00-0027048,Glen Coffee,RB,1987-05-01,CoffGl00,12491
COF511128,Ken Coffey,DB,1960-11-07,CoffKe20,
COF575019,Wayne Coffey,WR,1964-05-30,CoffWa20,
COF638910,Randy Coffield,LB,1953-12-12,CoffRa20,
00-0027069,Chase Coffman,TE,1986-11-10,CoffCh00,12536
COF702801,Paul Coffman,TE,1956-03-29,CoffPa00,
00-0024339,Barry Cofield,NT,1984-03-19,CofiBa20,9710
00-0031877,Takoby Cofield,OT,1992-01-22,CofiTa00,2512456
COF766692,Tim Cofield,LB,1963-05-18,CofiTi20,
00-0003187,George Coghill,DB,1970-03-30,CoghGe20,1706
00-0019351,Dustin Cohen,LB,1976-12-22,CoheDu20,2533
00-0039512,Javion Cohen,G,2002-08-08,CoheJa00,4692037
00-0025522,Joe Cohen,DT,1984-06-06,CoheJo00,10578
00-0026356,Landon Cohen,DE,1986-08-03,CoheLa99,11450
00-0033556,Tarik Cohen,RB,1995-07-26,CoheTa00,3066158
COK415291,Will Cokeley,ILB,1960-12-06,CokeWi20,
00-0039535,Andrew Coker,OT,2001-03-23,CokeAn00,4429430
00-0039491,Jalen Coker,WR,2001-10-30,CokeJa01,4695883
COL020508,Steve Colavito,LB,1951-08-09,ColaSt20,
00-0033302,Adrian Colbert,FS,1993-10-06,ColbAd00,2971699
COL030762,Danny Colbert,CB,1950-12-15,ColbDa20,
COL041016,Darrell Colbert,WR,1964-11-16,ColbDa21,
00-0039480,Jordan Colbert,SAF,2000-03-18,ColbJo00,4367504
COL051270,Lewis Colbert,P,1963-08-23,ColbLe20,
00-0022726,Keary Colbert,WR,1982-05-21,ColbKe00,5586
COL061524,Rondy Colbert,DB,1954-01-07,ColbRo20,
00-0040245,Connor Colby,G,2003-01-16,ColbCo00,4431523
00-0022713,Ricardo Colclough,DB,1983-09-26,ColcRi20,5563
00-0038803,C.J. Coldon,CB,1998-09-03,ColdCJ00,4240333
00-0035190,AJ Cole,P,1995-11-27,ColeAJ01,3686689
00-0029578,Audie Cole,MLB,1989-06-01,ColeAu00,15023
00-0036353,Brian Cole,SAF,1997-04-03,ColeBr01,3672884
00-0019661,Chris Cole,WR,1977-11-12,ColeCh00,2201
00-0021684,Colin Cole,DT,1980-06-24,ColeCo20,4870
00-0033765,Dylan Cole,LB,1994-05-19,ColeDy00,2986109
COL092286,Eddie Cole,LB,1956-12-16,ColeEd20,
00-0027270,Justin Cole,LB,1987-11-22,ColeJu00,13501
00-0033681,Keelan Cole,WR,1993-04-20,ColeKe00,3071572
COL133302,Larry Cole,DT,1946-11-15,ColeLa20,
00-0003202,Lee Cole,CB,1974-06-25,ColeLe20,8114
00-0024588,Marquice Cole,DB,1983-11-01,ColeMa01,11211
00-0034785,Mason Cole,C,1996-03-28,ColeMa02,3115972
00-0035838,Matt Cole,WR,1996-11-07,ColeMa03,4041703
00-0039425,Myles Cole,DE,2000-04-29,ColeMy00,4365303
00-0024156,Nick Cole,G,1984-07-28,ColeNi20,9905
COL174318,Robin Cole,OLB,1955-09-11,ColeRo01,
00-0023579,Trent Cole,OLB,1982-10-05,ColeTr20,8560
00-0025702,Alonzo Coleman,RB,1984-01-27,ColeAl21,10945
00-0034636,Amari Coleman,CB,1996-10-09,ColeAm00,3125790
00-0003209,Andre Coleman,WR,1972-09-19,ColeAn00,7645
00-0024739,Andre Coleman,DE,1984-07-26,ColeAn21,10858
COL215334,Anthony Coleman,DB,1964-08-20,ColeAn20,
00-0027209,Antonio Coleman,DE,1986-09-01,ColeAn01,13548
00-0003212,Ben Coleman,G,1971-05-18,ColeBe20,424
00-0030801,Brandon Coleman,WR,1992-06-22,ColeBr00,17127
00-0039913,Brandon Coleman,G,2000-10-12,ColeBr02,4685030
00-0029219,B.J. Coleman,QB,1988-09-16,ColeB.00,15018
COL225588,Charles Coleman,TE,1963-09-16,ColeCh20,
00-0019038,Chris Coleman,WR,1977-05-08,ColeCh01,2491
00-0021028,Clarence Coleman,WR,1980-06-04,ColeCl00,4872
00-0032966,Corey Coleman,WR,1994-07-06,ColeCo00,2978929
00-0019704,Cosey Coleman,G,1978-10-27,ColeCo21,2182
00-0038666,DJ Coleman,DE,1998-09-22,ColeDJ00,4368812
COL235842,Daniel Coleman,DE,1962-08-14,,
00-0030954,Davon Coleman,DT,1991-01-11,ColeDa00,17334
00-0031103,Deandre Coleman,DT,1991-01-27,ColeDe01,17128
00-0029068,Derrick Coleman,FB,1990-10-18,ColeDe00,15351
COL256350,Don Coleman,OLB,1952-01-11,ColeDo20,
00-0035863,Douglas Coleman III,DB,1998-06-28,ColeDo00,4043132
00-0024403,Drew Coleman,DB,1983-04-22,ColeDr20,9775
COL266604,Eric Coleman,DB,1966-12-27,ColeEr20,
00-0022218,Erik Coleman,S,1982-05-06,ColeEr21,5668
COL276858,Fred Coleman,TE,1953-06-26,ColeFr21,
00-0003220,Fred Coleman,WR,1975-01-31,ColeFr00,1550
COL287112,Greg Coleman,P,1954-09-09,ColeGr20,
00-0027529,Harry Coleman,LB,1985-11-10,,
00-0041496,Jonah Coleman,RB,2003-08-20,ColeJo00,4702555
00-0031796,Justin Coleman,CB,1993-03-27,ColeJu01,2577707
00-0019382,KaRon Coleman,RB,1978-05-22,ColeKa00,2484
00-0021262,Kenyon Coleman,DE,1979-04-10,ColeKe20,3675
00-0003226,Keo Coleman,LB,1970-05-01,ColeKe21,7379
00-0039901,Keon Coleman,WR,2003-05-17,ColeKe02,4635008
00-0041529,Kevin Coleman Jr.,WR,2003-09-10,ColeKe03,4685307
00-0027835,Kurt Coleman,S,1988-04-01,ColeKu99,13340
00-0033086,Kyle Coleman,LB,1993-09-30,,2572846
00-0030335,Lanier Coleman,DT,1986-12-21,ColeLa01,16485
00-0036575,Larnel Coleman,OT,1998-06-22,ColeLa03,4044519
00-0034624,Lavon Coleman,RB,1994-12-10,ColeLa02,3052163
COL297366,Leonard Coleman,DB,1962-01-30,ColeLe21,
00-0003229,Lincoln Coleman,FB,1969-08-12,ColeLi00,7565
00-0003230,Marco Coleman,DE,1969-12-18,ColeMa00,357
00-0003231,Marcus Coleman,DB,1974-05-24,ColeMa20,1032
00-0003233,Monte Coleman,LB,1957-11-04,ColeMo20,6591
00-0003234,Pat Coleman,WR,1967-04-08,ColePa00,6695
00-0003236,Quincy Coleman,CB,1975-05-23,,
00-0021300,Reggie Coleman,OT,1978-11-04,,
00-0003239,Rod Coleman,DT,1976-08-16,ColeRo99,1906
COL337878,Ronnie Coleman,RB,1951-07-09,ColeRo00,
00-0040054,Seth Coleman,DE,2000-12-07,ColeSe00,4429436
00-0033097,Shon Coleman,OT,1991-11-25,ColeSh00,2574573
00-0003243,Sidney Coleman,LB,1964-01-14,ColeSi20,
COL358890,Steve Coleman,DE,1950-08-08,ColeSt20,
00-0032058,Tevin Coleman,RB,1993-04-16,ColeTe01,2979477
00-0020992,Travis Coleman,DB,1980-01-04,ColeTr21,4393
00-0033453,Xavier Coleman,CB,1995-01-13,ColeXa00,3045642
00-0018958,Laveranues Coles,WR,1977-12-29,ColeLa00,2209
00-0032176,Henry Coley,LB,1992-04-29,,2512652
00-0003246,James Coley,TE,1967-04-13,ColeJa20,
00-0024027,Kevis Coley,LB,1982-06-23,ColeKe22,
00-0033968,Stacy Coley,WR,1994-05-13,ColeSt00,3051923
00-0032566,Trevon Coley,DT,1994-07-13,ColeTr01,2982880
00-0003248,Stalin Colinet,DE,1974-07-17,ColiSt20,1248
00-0039721,Ryan Coll,C,2001-02-21,CollRy01,4573473
00-0024262,Daryn Colledge,G,1982-02-11,CollDa20,9633
COL389652,Elmer Collett,G,1944-11-07,CollEl00,
00-0038875,Jack Colletto,FB,1998-11-19,CollJa04,4360705
00-0027092,Austin Collie,WR,1985-11-11,CollAu00,12561
00-0003252,Bruce Collie,OT,1962-06-27,CollBr20,
00-0039244,Chris Collier,RB,2000-03-24,CollCh01,4698191
00-0003256,Ervin Collier,DT,1971-05-12,,
00-0035636,L.J. Collier,DE,1995-09-12,CollLJ00,3116449
COL420414,Mike Collier,RB,1953-09-12,CollMi00,
COL430668,Reggie Collier,QB,1961-05-14,CollRe20,
00-0024096,Richard Collier,OT,1981-10-23,CollRi20,9906
COL451176,Steve Collier,OT,1963-04-19,CollSt20,
COL461430,Tim Collier,CB,1954-05-31,CollTi20,
00-0032426,Alex Collins,RB,1994-08-26,CollAl00,3046409
00-0040721,Alfred Collins,DT,2001-10-08,CollAl01,4430835
COL481938,Sonny Collins,RB,1953-01-17,CollSo00,
00-0003264,Andre Collins,LB,1968-05-04,CollAn20,154
00-0026252,Anthony Collins,OT,1985-11-02,CollAn21,11346
COL512700,Tony Collins,RB,1959-05-27,CollTo01,
00-0033326,Aviante Collins,OT,1993-04-21,CollAv00,2971556
00-0003266,Bobby Collins,TE,1976-08-20,CollBo00,1875
00-0029465,Brandon Collins,WR,1989-04-21,CollBr00,15588
00-0003268,Brett Collins,LB,1968-10-08,CollBr21,7300
00-0030229,Bryan Collins,G,1990-11-07,,16558
00-0040432,Beaux Collins,WR,2002-12-16,CollBe00,4431210
00-0003269,Calvin Collins,G,1974-01-05,CollCa20,1336
00-0029101,Cameron Collins,LB,1989-09-29,CollCa00,15277
00-0034444,Cayson Collins,LB,1995-11-10,CollCa01,3116695
00-0003271,Cecil Collins,RB,1976-11-19,CollCe00,1887
00-0039806,Chris Collins,LB,1999-12-14,CollCh00,4373268
COL522954,Clarence Collins,WR,1962-02-01,CollCl20,
00-0003305,Mo Collins,G,1976-09-22,CollMo20,1456
00-0003276,Dan Collins,G,1976-07-27,,
COL530644,Larry Collins,RB,1955-08-08,CollLa20,
00-0026764,Dobson Collins,WR,1987-07-12,,12913
COL533208,Dwight Collins,WR,1961-08-23,CollDw00,
COL538335,Kirk Collins,CB,1958-07-18,CollKi20,
COL543462,Fabray Collins,LB,1961-09-16,CollFa20,
COL563970,George Collins,G,1955-12-09,CollGe20,
00-0003284,Gerald Collins,LB,1971-02-13,CollGe21,
COL574224,Glen Collins,DE,1959-07-10,CollGl20,
COL584478,Greg Collins,LB,1952-12-08,CollGr20,
00-0031552,Jalen Collins,CB,1993-03-20,CollJa02,2577292
COL604986,Jim Collins,ILB,1958-06-11,CollJi01,
00-0030421,Jamie Collins,OLB,1989-10-20,CollJa00,15830
00-0029971,Jasper Collins,WR,1991-11-28,CollJa01,16052
00-0020054,Javiar Collins,DT,1978-04-13,,2808
00-0026072,Jed Collins,FB,1986-03-03,CollJe01,11517
00-0023577,Jerome Collins,TE,1982-08-18,CollJe00,8558
00-0003292,Kerry Collins,QB,1972-12-30,CollKe00,734
00-0031534,La'el Collins,OT,1993-07-26,CollLa01,2577302
00-0032262,Landon Collins,LB,1994-01-10,CollLa00,2979841
00-0033131,Maliek Collins,DT,1995-04-08,CollMa00,3040471
00-0025806,Manny Collins,CB,1984-08-02,,
00-0003301,Mark Collins,DB,1964-01-16,CollMa20,6518
00-0020788,Mike Collins,G,1978-08-27,,
00-0027263,Nate Collins,DT,1987-12-14,CollNa20,13550
00-0023486,Nick Collins,FS,1983-08-16,CollNi20,8465
00-0036554,Nico Collins,WR,1999-03-19,CollNi00,4258173
COL656256,Patrick Collins,RB,1966-08-04,CollPa20,
00-0003309,Roosevelt Collins,LB,1968-01-25,CollRo20,
00-0003310,Ryan Collins,TE,1975-11-01,CollRy00,2033
00-0003313,Shane Collins,DE,1969-04-11,CollSh20,7349
00-0003314,Shawn Collins,WR,1967-02-20,CollSh00,6578
00-0003315,Todd Collins,QB,1971-11-05,CollTo00,735
00-0003316,Todd F. Collins,OLB,1970-05-27,CollTo20,364
COL697272,Trent Collins,DB,1961-05-18,CollTr20,
00-0036933,Zaven Collins,LB,1999-05-19,CollZa00,4244606
COL717780,Cris Collinsworth,WR,1959-01-27,CollCr00,
00-0003319,Ferric Collons,DE,1969-12-04,CollFe20,485
00-0003320,Doug Colman,LB,1973-06-04,ColmDo20,1127
COL728034,Wayne Colman,LB,1946-04-13,ColmWa20,
00-0023526,Chris Colmer,OT,1980-11-21,,
00-0021160,Marc Colombo,OT,1978-10-08,ColoMa20,3557
00-0003322,Harry Colon,DB,1969-02-14,ColoHa20,7072
00-0035992,Trystan Colon,C,1998-03-23,ColoTr01,4035112
00-0024193,Willie Colon,G,1983-04-09,ColoWi20,9717
COL748542,Tony Colorito,NT,1964-09-08,ColoTo20,
00-0026516,Britton Colquitt,P,1985-03-20,ColqBr00,12773
00-0023534,Dustin Colquitt,P,1982-05-06,ColqDu20,8513
COL769050,Jimmy Colquitt,P,1963-01-17,ColqJi20,
COL774177,Craig Colquitt,P,1954-06-09,ColqCr20,
00-0039346,Junior Colson,LB,2002-12-06,ColsJu00,4431212
00-0024466,Marques Colston,WR,1983-06-05,ColsMa00,9838
00-0003332,Tim Colston,DE,1973-12-18,ColsTi20,8043
COL779304,Jeff Colter,DB,1961-04-23,ColtJe20,
00-0030932,Kain Colter,WR,1992-05-24,ColtKa00,17055
COL799812,George Colton,OT,1963-07-28,ColtGe20,
00-0031259,Aaron Colvin,CB,1991-10-02,ColvAa00,16900
00-0003338,Rosevelt Colvin,LB,1977-09-05,ColvRo20,1864
COL820320,Neal Colzie,S,1953-02-28,ColzNe20,
00-0040326,Branson Combs,LB,2000-07-14,CombBr00,4572704
00-0019634,Chris Combs,DT,1976-12-15,CombCh21,2304
COM118654,Chris Combs,TE,1958-03-17,CombCh20,
00-0020424,Derek Combs,RB,1979-02-28,CombDe20,3998316
00-0023690,Jonathan Combs,RB,1981-08-30,,
00-0003343,Darren Comeaux,MLB,1960-04-15,ComeDa20,
00-0003344,Greg Comella,RB,1975-07-29,ComeGr00,1695
00-0035265,John Cominsky,DE,1995-11-22,ComiJo00,4411771
00-0030462,Sanders Commings,CB,1990-03-08,CommSa00,15913
COM355962,Chuck Commiskey,G,1958-03-02,CommCh20,
00-0026534,Jonathan Compas,G,1986-01-09,CompJo00,12944
COM533943,Chuck Compton,DB,1965-01-13,CompCh20,
00-0003354,Mike Compton,G,1970-09-18,CompMi20,465
00-0029144,Tom Compton,G,1989-05-10,CompTo00,15082
00-0029869,Will Compton,ILB,1989-09-19,CompWi00,16324
00-0003356,Bill Conaty,C,1973-03-08,ConaBi20,1397
CON041528,Jack Concannon,QB,1943-02-25,ConcJa00,
00-0041547,KC Concepcion,WR,2004-09-24,ConcKC00,4870653
00-0023177,Jon Condo,LS,1981-08-26,CondJo20,9276
CON083056,Tom Condon,G,1952-10-26,CondTo20,
00-0025518,Brannon Condren,DB,1983-08-19,CondBr99,10574
00-0028792,Kevin Cone,WR,1988-03-20,ConeKe00,14818
00-0040686,Josh Conerly Jr.,OT,2003-11-05,ConeJo00,4685326
00-0035115,Te'Von Coney,LB,1997-06-10,ConeTe01,3862861
00-0003367,Cary Conklin,QB,1968-02-29,ConkCa00,7253
00-0033057,Jack Conklin,OT,1994-08-17,ConkJa00,2979534
00-0034270,Tyler Conklin,TE,1995-07-30,ConkTy00,3915486
00-0003368,Shane Conlan,MLB,1964-03-04,ConlSh00,7015
00-0032128,Chris Conley,WR,1992-10-25,ConlCh00,2578533
00-0003372,Steve Conley,LB,1972-01-18,ConlSt20,8010
00-0033882,Gareon Conley,CB,1995-06-29,ConlGa00,3051391
00-0040564,Jack Conley,OL,2001-06-15,ConlJa00,4426955
00-0026647,T.J. Conley,P,1985-08-29,ConlT.00,12966
00-0003373,Chris Conlin,G,1965-06-07,ConlCh20,
CON311460,Ray Conlin,DT,1962-06-07,ConlRa20,
CON352988,Dick Conn,DB,1951-01-09,ConnDi20,
00-0003378,Albert Connell,WR,1974-05-13,ConnAl00,3998318
CON394516,Mike Connell,P,1956-03-15,ConnMi20,
00-0035533,Ryan Connelly,ILB,1995-10-23,ConnRy00,3121538
00-0038982,Chamarri Conner,DB,2000-07-11,ConnCh01,4361964
00-0003381,Darion Conner,DE,1967-09-28,ConnDa20,7106
00-0040219,Hayden Conner,G,2002-04-26,ConnHa00,4431214
00-0033553,James Conner,RB,1995-05-05,ConnJa00,3045147
00-0037265,Snoop Conner,RB,2000-08-01,ConnSn00,4567246
00-0027739,John Conner,FB,1987-06-08,ConnJo00,13341
00-0027831,Kavell Conner,OLB,1987-02-23,ConnKa99,13342
00-0037348,Tanner Conner,TE,1998-03-20,ConnTa00,4047422
CON477572,Dan Conners,MLB,1941-02-06,ConnDa00,
00-0022979,Dan Connolly,G,1982-09-02,ConnDa21,9298
00-0026214,Dan Connor,ILB,1985-11-02,ConnDa99,11308
00-0041415,Dean Connors,RB,2003-08-29,ConnDe00,5082269
00-0022390,Scott Connot,DB,1981-06-24,ConnSc20,6325
00-0003385,Frank Conover,DT,1968-04-06,ConoFr20,
00-0003386,Scott Conover,G,1968-09-27,ConoSc20,6854
00-0023871,Sean Conover,TE,1984-07-31,ConoSe20,9907
00-0033766,Zach Conque,TE,1994-04-22,ConqZa00,2979985
00-0035009,C.J. Conrad,TE,1996-05-09,ConrCJ01,3915230
00-0003388,Chris Conrad,OT,1975-05-27,ConrCh20,
00-0003389,J.R. Conrad,C,1974-02-02,ConrJ.20,
00-0028878,Matt Conrath,DT,1989-08-11,ConrMa00,15142
00-0023537,Sean Considine,DB,1982-12-17,ConsSe20,8516
00-0028031,Chris Conte,FS,1989-02-23,ContCh00,14016
CON747504,Bill Contz,OT,1961-05-12,ContBi20,
00-0003395,Brett Conway,K,1975-03-08,conwabre01,1241
00-0035515,Cody Conway,OT,1996-07-09,ConwCo00,3916465
00-0032316,C.J. Conway,DB,1993-09-02,,3928276
00-0003396,Curtis Conway,WR,1971-01-13,ConwCu00,388
00-0030859,Gannon Conway,DE,1989-06-04,ConwGa00,17329
00-0003400,Ernie Conwell,TE,1972-08-17,ConwEr00,926
CON789032,Joe Conwell,OT,1961-02-24,ConwJo20,
00-0040301,Jalin Conyers,TE,2001-07-25,ConyJa00,4431044
00-0040893,Pat Coogan,C,2002-11-18,CoogPa01,4596542
00-0038475,Alex Cook,SAF,1999-05-21,CookAl00,4243320
00-0003404,Anthony Cook,DE,1972-05-30,CookAn20,785
00-0040398,Brady Cook,QB,2001-10-12,CookBr03,4429435
00-0037193,Bryan Cook,SAF,1999-09-07,CookBr02,4247726
COO019315,Charles Cook,DE,1959-05-13,CookCh20,
00-0027649,Chris Cook,CB,1987-02-15,CookCh99,13268
00-0032893,Connor Cook,QB,1993-01-29,CookCo00,2576261
00-0033893,Dalvin Cook,RB,1995-08-10,CookDa01,3116593
00-0020143,Damion Cook,OT,1979-04-16,CookDa20,3441
00-0037480,Dylan Cook,OT,1998-01-11,CookDy00,4570898
00-0026648,Emanuel Cook,DB,1988-01-20,CookEm99,12967
00-0027821,Erik Cook,C,1987-07-05,CookEr00,13343
COO115890,Fred Cook,DE,1952-04-15,CookFr20,
00-0029834,Jamaine Cook,RB,,,16309
00-0020391,Jameel Cook,RB,1979-02-08,CookJa00,2723
00-0037248,James Cook,RB,1999-09-25,CookJa01,4379399
00-0027061,Jared Cook,TE,1987-04-07,CookJa02,12537
COO173835,Kelly Cook,RB,1962-08-20,CookKe20,
00-0031992,Kenny Cook,WR,1992-05-20,CookKe00,2987210
00-0020071,Kerwin Cook,WR,1979-12-21,,
00-0024670,Kyle Cook,C,1983-07-25,CookKy20,11136
00-0003418,Marv Cook,TE,1966-02-24,CookMa00,6600
00-0020015,Mike Cook,OT,1978-06-23,,
00-0003422,Rashard Cook,DB,1977-04-18,CookRa20,1937
00-0035729,Rishard Cook,G,1997-06-25,CookRi00,4239773
00-0024266,Ryan Cook,C,1983-05-08,CookRy20,9637
00-0033683,Tim Cook,RB,1994-04-29,CookTi00,3930272
00-0003426,Toi Cook,DB,1964-12-03,CookTo20,6593
00-0034437,Logan Cooke,P,1995-07-28,CookLo00,3115480
COO289725,Bill Cooke,DE,1951-02-26,CookBi20,
00-0031236,Brandin Cooks,WR,1993-09-25,CookBr00,16731
00-0038667,Elijah Cooks,WR,1998-10-13,CookEl00,4241588
00-0003431,Johnie Cooks,LB,1958-11-23,CookJo20,
00-0003432,Kerry Cooks,DB,1974-03-28,CookKe21,8234
COO328355,Rayford Cooks,DE,1962-08-25,CookRa21,
COO347670,Terrence Cooks,LB,1966-10-25,CookTe21,
00-0035812,Case Cookus,QB,1995-10-06,CookCa00,3913822
00-0022738,Chris Cooley,TE,1982-07-11,CoolCh00,5606
COO386300,Larry Coombs,C,1957-08-09,CoomLa20,
COO405615,Tom Coombs,TE,1959-05-31,CoomTo20,
COO463560,Mark Cooney,LB,1951-06-02,CoonMa20,
00-0036539,Nolan Cooney,P,1996-09-18,CoonNo00,4047860
00-0003439,Robert Coons,TE,1969-09-18,,7912
00-0031112,Travis Coons,K,1992-02-06,CoonTr00,17130
00-0003440,Adrian Cooper,TE,1968-04-27,CoopAd00,6780
00-0003457,Louis Cooper,LB,1963-08-05,CoopLo20,6924
00-0031544,Amari Cooper,WR,1994-06-17,CoopAm00,2976499
00-0003441,Andre Cooper,WR,1975-06-21,CoopAn00,2010
00-0041097,Anez Cooper,G,2004-01-06,CoopAn01,4905597
00-0019118,Ashley Cooper,DB,1978-01-11,,
COO502190,Bert Cooper,MLB,1952-08-24,CoopBe20,
00-0020422,Chris Cooper,DE,1977-02-27,CoopCh20,2733
00-0034085,Chris Cooper,DB,1994-03-17,CoopCh00,3912343
00-0040083,Dalton Cooper,OT,2001-03-15,CoopDa00,4426972
00-0040024,Darius Cooper,WR,2001-11-22,CoopDa01,4715355
00-0039850,Edgerrin Cooper,LB,2001-11-17,CoopEd00,4430438
00-0033279,Ethan Cooper,G,1995-06-11,CoopEt00,4081136
COO540820,Evan Cooper,DB,1962-06-25,CoopEv20,
00-0032427,Fahn Cooper,OT,1993-04-30,CoopFa00,2574339
00-0024601,George Cooper,TE,1984-03-19,,
COO560135,George Cooper,LB,1958-12-24,CoopGe20,
COO598765,Jim Cooper,OT,1955-09-28,CoopJi21,
00-0020409,Jarrod Cooper,DB,1978-03-31,CoopJa20,2692
00-0019293,Deke Cooper,FS,1977-10-18,CoopDe20,4374
00-0026580,Jon Cooper,C,1986-10-01,CoopJo21,12775
00-0030590,Jonathan Cooper,G,1990-01-19,CoopJo01,15787
00-0036952,Jonathon Cooper,LB,1998-01-08,CoopJo02,4040608
COO618080,Joe Cooper,K,1960-10-30,coopejoe01,
00-0022588,Josh Cooper,DE,1980-12-05,CoopJo20,6133
00-0028930,Josh Cooper,WR,1989-01-08,CoopJo00,15197
00-0040655,Keith Cooper Jr.,DE,2003-03-30,CoopKe00,4712462
00-0030127,Marcus Cooper,DB,1990-02-01,CoopMa00,15888
COO647710,Earl Cooper,RB,1957-09-17,CoopEa00,
COO656710,Mark Cooper,G,1960-02-14,CoopMa20,
00-0041511,Omar Cooper Jr.,WR,2003-12-14,CoopOm00,4723820
00-0033111,Pharoh Cooper,WR,1995-03-07,CoopPh00,3048897
00-0019725,Rafael Cooper,RB,1975-01-08,CoopRa00,4389
00-0003461,Reggie Cooper,LB,1968-07-11,CoopRe20,
00-0003462,Richard Cooper,OT,1964-11-01,CoopRi20,6823
00-0027758,Riley Cooper,WR,1987-09-09,CoopRi00,13225
00-0039245,Ryan Cooper Jr.,CB,2001-08-31,CoopRy00,5085881
COO713447,Sam Cooper,G,,,3912663
COO733970,Scott Cooper,DE,1964-06-20,,
00-0021544,Stephen Cooper,LB,1979-06-19,CoopSt20,4877
00-0040036,Tyler Cooper,G,2001-04-20,CoopTy00,4429456
00-0022898,Marquis Cooper,LB,1982-03-11,CoopMa21,5604
00-0032061,Xavier Cooper,DE,1991-11-30,CoopXa00,2578408
COP166116,Jim Cope,LB,1953-06-23,CopeJi20,
COP249174,Anthony Copeland,LB,1963-04-14,CopeAn20,
00-0030010,Brandon Copeland,OLB,1991-07-02,CopeBr00,16393
00-0030818,Damian Copeland,WR,1990-10-17,CopeDa00,17131
00-0003466,Danny Copeland,S,1966-01-24,CopeDa20,6866
00-0003467,Horace Copeland,WR,1971-01-02,CopeHo00,444
00-0038843,Jacob Copeland,WR,1999-07-20,CopeJa00,4360233
00-0003470,John Copeland,NT,1970-09-20,CopeJo20,411
00-0035607,Marquise Copeland,DT,1997-05-09,CopeMa01,3914150
00-0003471,Russell Copeland,WR,1971-11-04,CopeRu00,7445
COP498348,Jim Copeland,C,1945-03-05,CopeJi21,
00-0029559,Quinton Coples,OLB,1990-06-22,CoplQu00,14934
COP747522,Gus Coppens,OT,1955-02-07,CoppGu20,
00-0022388,Terrance Copper,WR,1982-03-12,CoppTe00,5799
00-0034261,Austin Corbett,G,1995-09-05,CorbAu00,3056608
COR042594,James Corbett,TE,1955-02-22,,
00-0003474,Mondell Corbett,G,1977-02-11,,
COR063891,Steve Corbett,G,1951-08-11,CorbSt20,
00-0037410,Jashaun Corbin,RB,2000-08-20,CorbJa01,4372519
00-0027565,Jack Corcoran,RB,1987-06-26,,
00-0027264,Jim Cordle,C,1987-08-22,CordJi00,13551
00-0022856,Jorge Cordova,LB,1981-09-25,CordJo20,5611
00-0032795,Cody Core,WR,1994-04-17,CoreCo00,2980378
COR340752,John Corker,LB,1958-12-29,CorkJo20,
00-0037370,Yusuf Corker,DB,1998-12-26,CorkYu00,4259980
COR362049,Anthony Corley,RB,1960-08-10,CorlAn20,
COR383346,Chris Corley,TE,1963-10-24,CorlCh20,
00-0039920,Malachi Corley,WR,2002-03-21,CorlMa00,4613104
COR404643,Joe Cormier,LB,1963-05-03,CormJo20,
00-0040017,Ajani Cornelius,OT,2002-05-21,CornAj00,4696203
COR468534,Charles Cornelius,CB,1952-07-27,CornCh20,
00-0024829,Jemalle Cornelius,WR,1984-08-10,,11168
00-0036444,Jashon Cornell,DT,1996-12-29,CornJa01,3873928
00-0029373,Jack Cornell,G,1989-06-04,CornJa00,15519
COR489831,Bo Cornell,RB,1949-03-07,CornBo20,
COR511128,Martin Cornelson,C,1961-06-04,CornMa20,
00-0026254,Reggie Corner,DB,1983-11-17,CornRe99,11348
00-0029662,Paul Cornick,OT,1989-03-15,CornPa00,15706
