player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds
00-0000210,James Allen,RB,2002,1,REG,2002_01_DAL_HOU,HOU,DAL,0,0,0,0,0,0,0,19,56,0
00-0000251,Mike Alstott,FB,2002,1,REG,2002_01_NO_TB,TB,NO,0,0,0,0,0,0,0,6,11,0
00-0000745,Tiki Barber,RB,2002,1,REG,2002_01_SF_NYG,NYG,SF,0,0,0,0,0,0,0,15,29,1
00-0000942,Fred Beasley,FB,2002,1,REG,2002_01_SF_NYG,SF,NYG,0,0,0,0,0,0,0,1,9,0
00-0001098,Brandon Bennett,RB,2002,1,REG,2002_01_SD_CIN,CIN,LAC,0,0,0,0,0,0,0,2,12,0
00-0001215,Jerome Bettis,RB,2002,1,REG,2002_01_PIT_NE,PIT,NE,0,0,0,0,0,0,0,8,35,0
00-0001361,Drew Bledsoe,QB,2002,1,REG,2002_01_NYJ_BUF,BUF,NYJ,26,39,271,1,2,4,-29,0,0,0
00-0001823,Aaron Brooks,QB,2002,1,REG,2002_01_NO_TB,NO,TB,24,42,260,2,1,2,-10,3,9,0
00-0002110,Mark Brunell,QB,2002,1,REG,2002_01_IND_JAX,IND,JAX,22,35,228,2,1,1,-3,4,19,0
00-0003292,Kerry Collins,QB,2002,1,REG,2002_01_SF_NYG,NYG,SF,28,45,342,0,3,3,-24,1,4,0
00-0003396,Curtis Conway,WR,2002,1,REG,2002_01_SD_CIN,LAC,CIN,0,0,0,0,0,0,0,1,22,0
00-0003739,Daunte Culpepper,QB,2002,1,REG,2002_01_MIN_CHI,MIN,CHI,16,28,234,1,2,1,-6,5,6,1
00-0004052,Stephen Davis,RB,2002,1,REG,2002_01_ARI_WAS,WAS,ARI,0,0,0,0,0,0,0,26,104,1
00-0004304,Corey Dillon,RB,2002,1,REG,2002_01_SD_CIN,CIN,LAC,0,0,0,0,0,0,0,9,10,0
00-0004640,Warrick Dunn,RB,2002,1,REG,2002_01_ATL_GB,ATL,GB,0,0,0,0,0,0,0,15,69,2
00-0004673,Tim Dwight,WR,2002,1,REG,2002_01_SD_CIN,LAC,CIN,0,0,0,0,0,0,0,1,20,0
00-0004694,Kevin Dyson,WR,2002,1,REG,2002_01_PHI_TEN,TEN,PHI,0,0,0,0,0,0,0,1,-9,0
00-0004768,Marc Edwards,FB,2002,1,REG,2002_01_PIT_NE,NE,PIT,0,0,0,0,0,0,0,1,3,0
00-0004774,Robert Edwards,RB,2002,1,REG,2002_01_DET_MIA,MIA,DET,0,0,0,0,0,0,0,4,20,1
00-0005092,Marshall Faulk,RB,2002,1,REG,2002_01_STL_DEN,LA,DEN,0,0,0,0,0,0,0,10,19,1
00-0005106,Brett Favre,QB,2002,1,REG,2002_01_ATL_GB,GB,ATL,25,36,284,2,0,2,-11,2,6,0
00-0005180,Jay Fiedler,QB,2002,1,REG,2002_01_DET_MIA,MIA,DET,18,27,207,3,0,0,0,3,9,0
00-0005324,Terrell Fletcher,RB,2002,1,REG,2002_01_SD_CIN,LAC,CIN,0,0,0,0,0,0,0,16,73,1
00-0005589,Gus Frerotte,QB,2002,1,REG,2002_01_SD_CIN,CIN,LAC,18,31,198,0,1,4,-31,2,14,0
00-0005720,Joey Galloway,WR,2002,1,REG,2002_01_DAL_HOU,DAL,HOU,0,0,0,0,0,0,0,1,21,0
00-0005741,Rich Gannon,QB,2002,1,REG,2002_01_SEA_OAK,LV,SEA,19,28,214,2,1,2,-12,3,14,0
00-0005755,Jeff Garcia,QB,2002,1,REG,2002_01_SF_NYG,SF,NYG,16,26,166,1,1,0,0,3,21,0
00-0005779,Charlie Garner,RB,2002,1,REG,2002_01_SEA_OAK,LV,SEA,0,0,0,0,0,0,0,15,127,1
00-0005816,Olandis Gary,RB,2002,1,REG,2002_01_STL_DEN,DEN,LA,0,0,0,0,0,0,0,11,37,0
00-0005883,Eddie George,RB,2002,1,REG,2002_01_PHI_TEN,TEN,PHI,0,0,0,0,0,0,0,18,42,1
00-0006305,Ahman Green,RB,2002,1,REG,2002_01_ATL_GB,GB,ATL,0,0,0,0,0,0,0,27,155,0
00-0006355,Trent Green,QB,2002,1,REG,2002_01_KC_CLE,KC,CLE,20,29,276,1,1,0,0,2,17,0
00-0006423,Brian Griese,QB,2002,1,REG,2002_01_STL_DEN,DEN,LA,18,27,202,2,2,4,-15,3,16,0
00-0007091,Matt Hasselbeck,QB,2002,1,REG,2002_01_SEA_OAK,SEA,LV,23,32,155,2,0,3,-12,2,6,0
00-0007180,Garrison Hearst,RB,2002,1,REG,2002_01_SF_NYG,SF,NYG,0,0,0,0,0,0,0,12,40,0
00-0007254,William Henderson,FB,2002,1,REG,2002_01_ATL_GB,GB,ATL,0,0,0,0,0,0,0,1,1,1
00-0007357,Chris Hetherington,FB,2002,1,REG,2002_01_STL_DEN,LA,DEN,0,0,0,0,0,0,0,1,0,0
00-0007576,Kelly Holcomb,QB,2002,1,REG,2002_01_KC_CLE,CLE,KC,27,39,326,3,0,1,-7,0,0,0
00-0007579,Robert Holcombe,FB,2002,1,REG,2002_01_PHI_TEN,TEN,PHI,0,0,0,0,0,0,0,1,4,0
00-0007661,Priest Holmes,RB,2002,1,REG,2002_01_KC_CLE,KC,CLE,0,0,0,0,0,0,0,22,122,4
00-0008241,Edgerrin James,RB,2002,1,REG,2002_01_IND_JAX,IND,JAX,0,0,0,0,0,0,0,26,99,0
00-0008442,Brad Johnson,QB,2002,1,REG,2002_01_NO_TB,TB,NO,28,52,278,2,0,3,-17,3,11,0
00-0008560,Kevin Johnson,WR,2002,1,REG,2002_01_KC_CLE,CLE,KC,1,1,33,1,0,0,0,0,0,0
00-0008568,Leon Johnson,RB,2002,1,REG,2002_01_MIN_CHI,CHI,MIN,0,0,0,0,0,0,0,4,31,0
00-0008921,Randy Jordan,RB,2002,1,REG,2002_01_SEA_OAK,LV,SEA,0,0,0,0,0,0,0,2,14,1
00-0009288,Terry Kirby,RB,2002,1,REG,2002_01_SEA_OAK,LV,SEA,0,0,0,0,0,0,0,1,-3,0
00-0009417,Rob Konrad,FB,2002,1,REG,2002_01_DET_MIA,MIA,DET,0,0,0,0,0,0,0,1,-1,0
00-0009829,Dorsey Levens,RB,2002,1,REG,2002_01_PHI_TEN,PHI,TEN,0,0,0,0,0,0,0,3,9,0
00-0009869,Jermaine Lewis,WR,2002,1,REG,2002_01_DAL_HOU,HOU,DAL,0,0,0,0,0,0,0,1,5,0
00-0010137,Ray Lucas,QB,2002,1,REG,2002_01_DET_MIA,MIA,DET,0,0,0,0,0,0,0,2,-2,0
00-0010240,Stacey Mack,RB,2002,1,REG,2002_01_IND_JAX,IND,JAX,0,0,0,0,0,0,0,4,16,0
00-0010346,Peyton Manning,QB,2002,1,REG,2002_01_IND_JAX,IND,JAX,19,31,211,3,0,1,-8,2,5,0
00-0010436,Cecil Martin,RB,2002,1,REG,2002_01_PHI_TEN,PHI,TEN,0,0,0,0,0,0,0,1,-4,0
00-0010442,Curtis Martin,RB,2002,1,REG,2002_01_NYJ_BUF,NYJ,BUF,0,0,0,0,0,0,0,4,6,0
00-0010560,Shane Matthews,QB,2002,1,REG,2002_01_ARI_WAS,WAS,ARI,28,40,327,3,1,1,-7,4,0,0
00-0010747,Fred McCrary,RB,2002,1,REG,2002_01_SD_CIN,LAC,CIN,0,0,0,0,0,0,0,1,-1,0
00-0011022,Donovan McNabb,QB,2002,1,REG,2002_01_PHI_TEN,PHI,TEN,18,36,212,3,2,6,-31,3,15,0
00-0011024,Steve McNair,QB,2002,1,REG,2002_01_PHI_TEN,TEN,PHI,24,34,269,2,1,1,-2,5,24,0
00-0011276,Jim Miller,QB,2002,1,REG,2002_01_MIN_CHI,CHI,MIN,20,33,297,2,1,1,-9,3,4,0
00-0011795,Muhsin Muhammad,WR,2002,1,REG,2002_01_BAL_CAR,CAR,BAL,0,0,0,0,0,0,0,1,17,0
00-0012478,Terrell Owens,WR,2002,1,REG,2002_01_SF_NYG,SF,NYG,0,0,0,0,0,0,0,1,10,0
00-0012732,Rodney Peete,QB,2002,1,REG,2002_01_BAL_CAR,CAR,BAL,12,19,136,1,0,2,-16,2,-4,0
00-0013013,Michael Pittman,RB,2002,1,REG,2002_01_NO_TB,TB,NO,0,0,0,0,0,0,0,12,50,0
00-0013042,Jake Plummer,QB,2002,1,REG,2002_01_ARI_WAS,ARI,WAS,14,36,187,1,1,1,0,2,11,1
00-0013232,Peerless Price,WR,2002,1,REG,2002_01_NYJ_BUF,BUF,NYJ,0,0,0,0,0,0,0,1,-7,0
00-0013694,Tony Richardson,FB,2002,1,REG,2002_01_KC_CLE,KC,CLE,0,0,0,0,0,0,0,3,13,0
00-0014328,Frank Sanders,WR,2002,1,REG,2002_01_ARI_WAS,ARI,WAS,0,0,0,0,0,0,0,1,5,0
00-0014450,Cory Schlesinger,FB,2002,1,REG,2002_01_DET_MIA,DET,MIA,0,0,0,0,0,0,0,8,28,1
00-0015091,Antowain Smith,RB,2002,1,REG,2002_01_PIT_NE,NE,PIT,0,0,0,0,0,0,0,17,60,0
00-0015165,Emmitt Smith,RB,2002,1,REG,2002_01_DAL_HOU,DAL,HOU,0,0,0,0,0,0,0,17,67,0
00-0015242,Lamar Smith,RB,2002,1,REG,2002_01_BAL_CAR,CAR,BAL,0,0,0,0,0,0,0,24,84,0
00-0015523,Duce Staley,RB,2002,1,REG,2002_01_PHI_TEN,PHI,TEN,0,0,0,0,0,0,0,7,18,0
