player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds
00-0000251,Mike Alstott,FB,2003,1,REG,2003_01_TB_PHI,TB,PHI,0,0,0,0,0,0,0,12,23,0
00-0000339,Richie Anderson,FB,2003,1,REG,2003_01_ATL_DAL,DAL,ATL,0,0,0,0,0,0,0,4,8,0
00-0000745,Tiki Barber,RB,2003,1,REG,2003_01_STL_NYG,NYG,LA,0,0,0,0,0,0,0,24,146,0
00-0000942,Fred Beasley,FB,2003,1,REG,2003_01_CHI_SF,SF,CHI,0,0,0,0,0,0,0,2,0,0
00-0001098,Brandon Bennett,RB,2003,1,REG,2003_01_DEN_CIN,CIN,DEN,0,0,0,0,0,0,0,3,1,0
00-0001215,Jerome Bettis,RB,2003,1,REG,2003_01_BAL_PIT,PIT,BAL,0,0,0,0,0,0,0,4,14,0
00-0001218,Steve Beuerlein,QB,2003,1,REG,2003_01_DEN_CIN,DEN,CIN,0,0,0,0,0,1,-6,1,7,0
00-0001335,Jeff Blake,QB,2003,1,REG,2003_01_ARI_DET,ARI,DET,28,46,363,3,1,2,-19,3,12,0
00-0001361,Drew Bledsoe,QB,2003,1,REG,2003_01_NE_BUF,BUF,NE,17,28,230,1,1,2,-15,1,0,0
00-0001477,Marty Booker,WR,2003,1,REG,2003_01_CHI_SF,CHI,SF,0,0,0,0,0,0,0,1,1,0
00-0001823,Aaron Brooks,QB,2003,1,REG,2003_01_NO_SEA,NO,SEA,29,47,274,1,1,3,-18,2,2,0
00-0002110,Mark Brunell,QB,2003,1,REG,2003_01_JAX_CAR,JAX,CAR,23,27,272,2,0,4,-16,3,-2,0
00-0002159,Shawn Bryson,RB,2003,1,REG,2003_01_ARI_DET,DET,ARI,0,0,0,0,0,0,0,5,8,0
00-0002846,Larry Centers,FB,2003,1,REG,2003_01_NE_BUF,NE,BUF,0,0,0,0,0,0,0,5,36,0
00-0003292,Kerry Collins,QB,2003,1,REG,2003_01_STL_NYG,NYG,LA,14,26,202,0,0,2,-15,2,2,0
00-0003739,Daunte Culpepper,QB,2003,1,REG,2003_01_MIN_GB,MIN,GB,15,30,195,3,0,2,-12,9,50,0
00-0004052,Stephen Davis,RB,2003,1,REG,2003_01_JAX_CAR,CAR,JAX,0,0,0,0,0,0,0,22,111,0
00-0004161,Jake Delhomme,QB,2003,1,REG,2003_01_JAX_CAR,CAR,JAX,12,20,122,3,2,1,-1,3,1,0
00-0004229,Koy Detmer,QB,2003,1,REG,2003_01_TB_PHI,PHI,TB,0,1,0,0,0,0,0,0,0,0
00-0004304,Corey Dillon,RB,2003,1,REG,2003_01_DEN_CIN,CIN,DEN,0,0,0,0,0,0,0,14,34,0
00-0004541,Donald Driver,WR,2003,1,REG,2003_01_MIN_GB,GB,MIN,0,0,0,0,0,0,0,1,1,0
00-0004640,Warrick Dunn,RB,2003,1,REG,2003_01_ATL_DAL,ATL,DAL,0,0,0,0,0,0,0,13,41,0
00-0004768,Marc Edwards,FB,2003,1,REG,2003_01_JAX_CAR,JAX,CAR,0,0,0,0,0,0,0,1,2,1
00-0005091,Kevin Faulk,RB,2003,1,REG,2003_01_NE_BUF,NE,BUF,0,0,0,0,0,0,0,10,62,0
00-0005092,Marshall Faulk,RB,2003,1,REG,2003_01_STL_NYG,LA,NYG,0,0,0,0,0,0,0,9,28,0
00-0005106,Brett Favre,QB,2003,1,REG,2003_01_MIN_GB,GB,MIN,25,41,248,1,4,1,-6,0,0,0
00-0005180,Jay Fiedler,QB,2003,1,REG,2003_01_HOU_MIA,MIA,HOU,17,32,227,3,2,2,-12,3,2,0
00-0005741,Rich Gannon,QB,2003,1,REG,2003_01_OAK_TEN,LV,TEN,24,38,264,2,0,4,-18,1,6,0
00-0005755,Jeff Garcia,QB,2003,1,REG,2003_01_CHI_SF,SF,CHI,19,35,229,2,1,0,0,7,36,1
00-0005779,Charlie Garner,RB,2003,1,REG,2003_01_OAK_TEN,LV,TEN,0,0,0,0,0,0,0,7,22,0
00-0005816,Olandis Gary,RB,2003,1,REG,2003_01_ARI_DET,DET,ARI,0,0,0,0,0,0,0,12,44,0
00-0005883,Eddie George,RB,2003,1,REG,2003_01_OAK_TEN,TEN,LV,0,0,0,0,0,0,0,20,42,0
00-0006305,Ahman Green,RB,2003,1,REG,2003_01_MIN_GB,GB,MIN,0,0,0,0,0,0,0,15,53,2
00-0006355,Trent Green,QB,2003,1,REG,2003_01_SD_KC,KC,LAC,21,32,282,1,1,3,-23,4,10,0
00-0007091,Matt Hasselbeck,QB,2003,1,REG,2003_01_NO_SEA,SEA,NO,12,23,137,2,0,3,-18,4,11,0
00-0007180,Garrison Hearst,RB,2003,1,REG,2003_01_CHI_SF,SF,CHI,0,0,0,0,0,0,0,11,56,1
00-0007576,Kelly Holcomb,QB,2003,1,REG,2003_01_IND_CLE,CLE,IND,20,29,182,0,2,0,0,0,0,0
00-0007579,Robert Holcombe,FB,2003,1,REG,2003_01_OAK_TEN,TEN,LV,0,0,0,0,0,0,0,6,15,0
00-0007661,Priest Holmes,RB,2003,1,REG,2003_01_SD_KC,KC,LAC,0,0,0,0,0,0,0,18,85,2
00-0008241,Edgerrin James,RB,2003,1,REG,2003_01_IND_CLE,IND,CLE,0,0,0,0,0,0,0,15,67,0
00-0008442,Brad Johnson,QB,2003,1,REG,2003_01_TB_PHI,TB,PHI,27,36,238,2,1,0,0,0,0,0
00-0009311,Jon Kitna,QB,2003,1,REG,2003_01_DEN_CIN,CIN,DEN,20,37,264,1,2,4,-21,3,5,0
00-0010240,Stacey Mack,RB,2003,1,REG,2003_01_HOU_MIA,HOU,MIA,0,0,0,0,0,0,0,27,89,0
00-0010261,Tommy Maddox,QB,2003,1,REG,2003_01_BAL_PIT,PIT,BAL,21,29,260,3,0,2,-9,0,0,0
00-0010346,Peyton Manning,QB,2003,1,REG,2003_01_IND_CLE,IND,CLE,27,43,211,0,2,1,-7,0,0,0
00-0010442,Curtis Martin,RB,2003,1,REG,2003_01_NYJ_WAS,NYJ,WAS,0,0,0,0,0,0,0,15,48,0
00-0011022,Donovan McNabb,QB,2003,1,REG,2003_01_TB_PHI,PHI,TB,19,36,148,0,1,3,-24,5,55,0
00-0011024,Steve McNair,QB,2003,1,REG,2003_01_OAK_TEN,TEN,LV,25,38,269,2,1,1,-11,2,19,0
00-0011399,Brian Mitchell,RB,2003,1,REG,2003_01_STL_NYG,NYG,LA,0,0,0,0,0,0,0,1,1,1
00-0011958,Lorenzo Neal,FB,2003,1,REG,2003_01_SD_KC,LAC,KC,0,0,0,0,0,0,0,1,1,0
00-0012478,Terrell Owens,WR,2003,1,REG,2003_01_CHI_SF,SF,CHI,0,0,0,0,0,0,0,1,-1,0
