player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_fumbles_lost,receptions,targets,receiving_yards,receiving_tds,receiving_first_downs,receiving_fumbles_lost,fg_made,fg_att,fg_long,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,pat_made,pat_att,pt_att,pt_yards,pt_net_yards,pt_long,pt_inside_20
00-0000108,David Akers,K,2005,1,REG,2005_01_PHI_ATL,PHI,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,44,0,0,0,1,0,0,1,1,0,0,0,,0
00-0000166,Stephen Alexander,TE,2005,1,REG,2005_01_DEN_MIA,DEN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000251,Mike Alstott,FB,2005,1,REG,2005_01_TB_MIN,TB,MIN,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000400,Leo Araguz,P,2005,1,REG,2005_01_SEA_JAX,SEA,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,230,186,53,0
00-0000552,Obafemi Ayanbadejo,RB,2005,1,REG,2005_01_ARI_NYG,ARI,NYG,0,0,0,0,0,0,0,2,2,0,0,0,5,0,29,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000745,Tiki Barber,RB,2005,1,REG,2005_01_ARI_NYG,NYG,ARI,0,0,0,0,0,0,0,13,62,1,3,0,2,0,60,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001157,Mitch Berger,P,2005,1,REG,2005_01_NO_CAR,NO,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,87,87,54,2
00-0001231,Josh Bidwell,P,2005,1,REG,2005_01_TB_MIN,TB,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,281,227,52,1
00-0001361,Drew Bledsoe,QB,2005,1,REG,2005_01_DAL_SD,DAL,LAC,18,24,226,3,0,4,-34,4,7,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001477,Marty Booker,WR,2005,1,REG,2005_01_DEN_MIA,MIA,DEN,0,0,0,0,0,0,0,0,0,0,0,0,5,0,104,1,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001532,David Boston,WR,2005,1,REG,2005_01_DEN_MIA,MIA,DEN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001759,Doug Brien,K,2005,1,REG,2005_01_CHI_WAS,CHI,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,,0
00-0001823,Aaron Brooks,QB,2005,1,REG,2005_01_NO_CAR,NO,CAR,18,24,192,0,0,1,-2,3,32,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001980,Kris Brown,K,2005,1,REG,2005_01_HOU_BUF,HOU,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,,0
