player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_fumbles_lost,receptions,targets,receiving_yards,receiving_tds,receiving_first_downs,receiving_fumbles_lost,fg_made,fg_att,fg_long,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,pat_made,pat_att,pt_att,pt_yards,pt_net_yards,pt_long,pt_inside_20
00-0023459,Aaron Rodgers,QB,2024,1,REG,2024_01_NYJ_SF,NYJ,SF,13,21,167,1,1,1,-5,1,-1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0023853,Matt Prater,K,2024,1,REG,2024_01_ARI_BUF,ARI,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,31,0,1,1,0,0,0,2,2,0,0,0,,0
00-0025565,Nick Folk,K,2024,1,REG,2024_01_TEN_CHI,TEN,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0,0,0,1,0,0,2,2,0,0,0,,0
00-0026498,Matthew Stafford,QB,2024,1,REG,2024_01_LA_DET,LA,DET,34,49,317,1,1,2,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0026858,Graham Gano,K,2024,1,REG,2024_01_MIN_NYG,NYG,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50,0,1,0,0,1,0,0,0,0,0,0,,0
00-0027114,Thomas Morstead,P,2024,1,REG,2024_01_NYJ_SF,NYJ,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,160,145,60,2
00-0027973,Andy Dalton,QB,2024,1,REG,2024_01_CAR_NO,CAR,NO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0028118,Tyrod Taylor,QB,2024,1,REG,2024_01_NYJ_SF,NYJ,SF,6,8,36,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0028872,Johnny Hekker,P,2024,1,REG,2024_01_CAR_NO,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,191,131,53,0
00-0029597,Justin Tucker,K,2024,1,REG,2024_01_BAL_KC,BAL,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,32,0,1,1,0,0,0,2,2,0,0,0,,0
00-0029604,Kirk Cousins,QB,2024,1,REG,2024_01_PIT_ATL,ATL,PIT,16,26,155,1,2,2,-18,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0029621,Greg Zuerlein,K,2024,1,REG,2024_01_NYJ_SF,NYJ,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,,0
00-0029692,Bryan Anger,P,2024,1,REG,2024_01_DAL_CLE,DAL,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,294,222,59,0
00-0029892,Kyle Juszczyk,FB,2024,1,REG,2024_01_NYJ_SF,SF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,2,3,40,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0030035,Adam Thielen,WR,2024,1,REG,2024_01_CAR_NO,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,3,4,49,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0030061,Zach Ertz,TE,2024,1,REG,2024_01_WAS_TB,WAS,TB,0,0,0,0,0,0,0,0,0,0,0,0,3,4,28,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0030092,Sam Martin,P,2024,1,REG,2024_01_ARI_BUF,BUF,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,85,79,51,1
00-0030098,Dustin Hopkins,K,2024,1,REG,2024_01_DAL_CLE,CLE,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,51,0,0,0,0,1,0,2,2,0,0,0,,0
00-0030140,Tress Way,P,2024,1,REG,2024_01_WAS_TB,WAS,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,139,124,54,1
00-0030279,Keenan Allen,WR,2024,1,REG,2024_01_TEN_CHI,CHI,TEN,0,0,0,0,0,0,0,0,0,0,0,0,4,11,29,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0030506,Travis Kelce,TE,2024,1,REG,2024_01_BAL_KC,KC,BAL,0,0,0,0,0,0,0,0,0,0,0,0,3,4,34,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0030564,DeAndre Hopkins,WR,2024,1,REG,2024_01_TEN_CHI,TEN,CHI,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0030565,Geno Smith,QB,2024,1,REG,2024_01_DEN_SEA,SEA,DEN,18,25,171,1,1,2,-13,4,30,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0030578,Cordarrelle Patterson,RB,2024,1,REG,2024_01_PIT_ATL,PIT,ATL,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031136,Chris Boswell,K,2024,1,REG,2024_01_PIT_ATL,PIT,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,57,0,1,0,2,3,0,0,0,1,43,43,43,0
00-0031203,Cairo Santos,K,2024,1,REG,2024_01_TEN_CHI,CHI,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50,0,1,0,1,1,0,1,1,0,0,0,,0
00-0031236,Brandin Cooks,WR,2024,1,REG,2024_01_DAL_CLE,DAL,CLE,0,0,0,0,0,0,0,1,5,0,0,0,4,7,40,1,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031280,Derek Carr,QB,2024,1,REG,2024_01_CAR_NO,NO,CAR,19,23,200,3,0,1,-1,2,13,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031299,Jordan Matthews,TE,2024,1,REG,2024_01_CAR_NO,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031381,Davante Adams,WR,2024,1,REG,2024_01_LV_LAC,LV,LAC,0,0,0,0,0,0,0,0,0,0,0,0,5,6,59,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031408,Mike Evans,WR,2024,1,REG,2024_01_WAS_TB,TB,WAS,0,0,0,0,0,0,0,0,0,0,0,0,5,6,61,2,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031492,Jason Myers,K,2024,1,REG,2024_01_DEN_SEA,SEA,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50,0,1,0,0,1,0,2,2,0,0,0,,0
00-0031544,Amari Cooper,WR,2024,1,REG,2024_01_DAL_CLE,CLE,DAL,0,0,0,0,0,0,0,0,0,0,0,0,2,9,16,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031549,Nelson Agholor,WR,2024,1,REG,2024_01_BAL_KC,BAL,KC,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031585,MyCole Pruitt,TE,2024,1,REG,2024_01_PIT_ATL,PIT,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031588,Stefon Diggs,WR,2024,1,REG,2024_01_HOU_IND,HOU,IND,0,0,0,0,0,0,0,1,6,0,0,0,6,6,33,2,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031595,Michael Burton,FB,2024,1,REG,2024_01_DEN_SEA,DEN,SEA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031687,Raheem Mostert,RB,2024,1,REG,2024_01_JAX_MIA,MIA,JAX,0,0,0,0,0,0,0,6,9,0,0,0,2,3,10,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031763,DeAndre Carter,WR,2024,1,REG,2024_01_TEN_CHI,CHI,TEN,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0031941,Jamison Crowder,WR,2024,1,REG,2024_01_WAS_TB,WAS,TB,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0032065,Bradley Pinion,P,2024,1,REG,2024_01_PIT_ATL,ATL,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,210,163,59,0
00-0032211,Tyler Lockett,WR,2024,1,REG,2024_01_DEN_SEA,SEA,DEN,0,0,0,0,0,0,0,0,0,0,0,0,6,7,77,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0032392,Austin Hooper,TE,2024,1,REG,2024_01_NE_CIN,NE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,2,4,31,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0032394,Nick Vannett,TE,2024,1,REG,2024_01_TEN_CHI,TEN,CHI,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0032434,Brandon Allen,QB,2024,1,REG,2024_01_NYJ_SF,SF,NYJ,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
